id;start_date;end_date;reason;submission_date;status;rejection_reason;applicant_id
1;2025-05-22;2025-05-21;promptly zowie stack;2025-05-22T02:40:23;REJECTED;ugh wry;1
2;2025-05-22;2025-05-21;kinase besides hypothesize;2025-05-22T03:43:55;APPROVED;fraternise plait;2
3;2025-05-21;2025-05-21;fence zowie;2025-05-21T13:14:13;REJECTED;quantify lest;2
4;2025-05-21;2025-05-21;adultXXXXX;2025-05-21T23:38:31;PENDING;instead legal deceivingly;1
5;2025-05-21;2025-05-21;gee since troubled;2025-05-22T01:32:08;PENDING;smoothly carefree;1
6;2025-05-21;2025-05-21;derby impressive phooey;2025-05-21T11:45:21;REJECTED;gleefully amongst;1
7;2025-05-21;2025-05-21;duh ew per;2025-05-21T22:24:15;REJECTED;wherever yahoo hunt;2
8;2025-05-21;2025-05-21;oof evenXX;2025-05-21T11:00:57;PENDING;why abaft retention;1
9;2025-05-22;2025-05-22;ontoXXXXXX;2025-05-21T22:04:27;APPROVED;beside nightlife;2
10;2025-05-22;2025-05-21;adventurously yum;2025-05-21T22:44:18;APPROVED;beneath aggressive;1
